job;salary;id;city;year;age
Учитель;135993;2593806;Хихон;2005;34
Инженер;83527;7901612;Эль-Пуэрто-де-Санта-Мария;2016;25
Строитель;98072;4056443;Любляна;2014;53
Архитектор;115241;2244506;Бишкек;2019;55
Продавец;28242;3213714;Астана;2011;49
Продавец;98937;2135997;Минск;2014;45
Водитель;32324;7322235;Кадакес;2017;35
IT-специалист;73904;2865592;Льейда;2001;35
Оператор call-центра;67843;5211324;Краков;2017;56
Продавец;179284;4085465;Вальядолид;2019;32
Повар;47538;2500409;Лас-Росас;2014;32
Учитель;178771;6096463;Тбилиси;2002;46
Архитектор;87921;3994427;Ташкент;2004;41
Программист;141132;1659303;Бургос;2021;23
Программист;96632;7459936;Подгорица;2014;43
Архитектор;176028;5787318;Минск;2009;38
Учитель;21467;3446058;Таллин;2020;30
Повар;133961;8173415;Подгорица;2020;38
Продавец;60098;2163587;Белград;2002;21
Бухгалтер;114984;7445469;Будапешт;2019;62
Медсестра;72106;6270631;Мерида;2022;57
Менеджер;87349;8762335;Санкт-Петербург;2019;61
Врач;138824;3161552;Луарка;2005;54
Повар;41027;8957359;Минск;2014;29
Психолог;95764;7788440;Гранада;2015;36
Инженер;38283;6297656;Подгорица;2021;55
Медсестра;76861;7468502;Вальядолид;2021;46
Психолог;97115;1511794;Москва;2019;37
Психолог;198189;8756936;Ла-Корунья;2018;64
Бухгалтер;30461;5409956;Сьюдад-Реаль;2022;64
Косметолог;108928;5336290;Краков;2009;30
Оператор call-центра;172921;5547859;Гранада;2001;21
Повар;184755;1760996;Астана;2020;62
Архитектор;115496;8098227;Мурсия;2011;23
Косметолог;99004;3166702;Луарка;2008;39
Программист;152881;5168570;Кадакес;1999;20
Архитектор;45381;3955846;Хихон;2008;36
Менеджер;59096;2013734;София;2008;36
Косметолог;63198;9468872;Овьедо;2012;47
Врач;75976;8146935;Самора;1999;23
Врач;193092;5597005;Севилья;2004;47
Повар;39870;7402485;Касерес;2020;54
Продавец;179288;9640428;Камбадос;2016;27
Программист;79323;2631988;Баку;2004;36
